OBJECTID,ZIP_CODE,PO_NAME,STATE,POPULATION,POP_SQMI,SQMI,Shape_Leng,Shape_Area,Longitude,Latitude
92,152,Assateague Island Ntl SE,MD,,,17.02,2.661142889,0.004528905,-75.20049768,38.13462723
5781,20001,Washington,DC,50832,23317.43,2.18,0.14606492,0.000586298,-77.01773448,38.91043604
5782,20002,Washington,DC,70497,13177.01,5.35,0.237359666,0.001438078,-76.98457599,38.90564068
5783,20003,Washington,DC,33414,13312.35,2.51,0.175743752,0.000674197,-76.99086327,38.88145546
5784,20004,Washington,DC,1855,2727.94,0.68,0.074148936,0.000183615,-77.02332835,38.89193062
5785,20005,Washington,DC,14588,32417.78,0.45,0.047993871,0.000121235,-77.03156906,38.90459913
5786,20006,Washington,DC,2738,4720.69,0.58,0.062105529,0.000155971,-77.03964623,38.89588439
5787,20007,Washington,DC,32363,9462.87,3.42,0.193401176,0.000919265,-77.07866003,38.91395582
5788,20008,Washington,DC,30530,9086.31,3.36,0.201620821,0.000902819,-77.0591559,38.9364576
5789,20009,Washington,DC,55769,42571.76,1.31,0.083202452,0.000352029,-77.0372142,38.91985345
5790,20010,Washington,DC,31941,29575,1.08,0.129165083,0.000290137,-77.03051603,38.93258555
5791,20011,Washington,DC,65045,11532.8,5.64,0.236182813,0.001518543,-77.02176987,38.9512524
5792,20012,Washington,DC,14920,6322.03,2.36,0.166676178,0.000634471,-77.03216699,38.97736788
5793,20015,Washington,DC,16101,5160.58,3.12,0.184923577,0.000840041,-77.05913072,38.96816176
5794,20016,Washington,DC,35492,7698.92,4.61,0.172348363,0.001241727,-77.09148881,38.93811824
5795,20017,Washington,DC,21307,10050.47,2.12,0.161660673,0.000571276,-76.99265224,38.93811016
5796,20018,Washington,DC,19652,6776.55,2.9,0.171266036,0.000778997,-76.9721743,38.92642102
5797,20019,Washington,DC,59198,9149.61,6.47,0.213490794,0.00173969,-76.94240742,38.89228445
5798,20020,Washington,DC,53116,11135.43,4.77,0.20899967,0.001281106,-76.97464699,38.86240855
5799,20024,Washington,DC,14879,3534.2,4.21,0.230243302,0.001132594,-77.03048153,38.87449101
5800,20032,Washington,DC,39703,4830.05,8.22,0.313478199,0.002207995,-77.0150521,38.83162756
5801,20036,Washington,DC,5381,16306.06,0.33,0.044095433,8.76E-05,-77.04170028,38.90689586
5802,20037,Washington,DC,18127,13732.58,1.32,0.126254623,0.000354146,-77.05408835,38.89637545
5804,20052,Washington,DC,,,0.06,0.025694024,1.57E-05,-77.04853323,38.89970984
5805,20057,Washington,DC,,,0.15,0.028347594,3.98E-05,-77.07519886,38.90919975
5806,20059,Washington,DC,0,0,0.09,0.025365177,2.41E-05,-77.02022716,38.92255131
5807,20064,Washington,DC,,,0.2,0.02937005,5.30E-05,-76.99914971,38.93639816
5808,20105,Aldie,VA,26871,757.57,35.47,0.726561404,0.009547463,-77.6030461,38.9566477
5810,20109,Manassas,VA,40563,1909.75,21.24,0.568156991,0.005704496,-77.52848712,38.7932146
