Date,Rand1,Rand2,Rand3,Rand4,Rand5,Rand6,Rand7,Rand8,Rand9,Rand10,Rand11,Rand12,Rand13,Rand14,Rand15,Rand16,Rand17,Rand18,Rand19,Rand20,Rand21,Rand22
1/1/2020,4.095531138,4.095531138,4.095531138,4.095531138,4.095531138,4.095531138,4.095531138,4.095531138,4.095531138,4.095531138,4.095531138,4.095531138,4.095531138,4.095531138,4.095531138,4.095531138,4.095531138,4.095531138,4.095531138,4.095531138,4.095531138,4.095531138
1/2/2020,4.086174132,4.086174132,4.086174132,4.086174132,4.086174132,4.086174132,4.086174132,4.086174132,4.086174132,4.086174132,4.086174132,4.086174132,4.086174132,4.086174132,4.086174132,4.086174132,4.086174132,4.086174132,4.086174132,4.086174132,4.086174132,4.086174132
1/3/2020,5.138069731,5.138069731,5.138069731,5.138069731,5.138069731,5.138069731,5.138069731,5.138069731,5.138069731,5.138069731,5.138069731,5.138069731,5.138069731,5.138069731,5.138069731,5.138069731,5.138069731,5.138069731,5.138069731,5.138069731,5.138069731,5.138069731
1/4/2020,6.186629826,6.186629826,6.186629826,6.186629826,6.186629826,6.186629826,6.186629826,6.186629826,6.186629826,6.186629826,6.186629826,6.186629826,6.186629826,6.186629826,6.186629826,6.186629826,6.186629826,6.186629826,6.186629826,6.186629826,6.186629826,6.186629826
1/5/2020,5.770821481,5.770821481,5.770821481,5.770821481,5.770821481,5.770821481,5.770821481,5.770821481,5.770821481,5.770821481,5.770821481,5.770821481,5.770821481,5.770821481,5.770821481,5.770821481,5.770821481,5.770821481,5.770821481,5.770821481,5.770821481,5.770821481
1/6/2020,5.4487802,5.4487802,5.4487802,5.4487802,5.4487802,5.4487802,5.4487802,5.4487802,5.4487802,5.4487802,5.4487802,5.4487802,5.4487802,5.4487802,5.4487802,5.4487802,5.4487802,5.4487802,5.4487802,5.4487802,5.4487802,5.4487802
1/7/2020,5.207842518,5.207842518,5.207842518,5.207842518,5.207842518,5.207842518,5.207842518,5.207842518,5.207842518,5.207842518,5.207842518,5.207842518,5.207842518,5.207842518,5.207842518,5.207842518,5.207842518,5.207842518,5.207842518,5.207842518,5.207842518,5.207842518
1/8/2020,5.02942725,5.02942725,5.02942725,5.02942725,5.02942725,5.02942725,5.02942725,5.02942725,5.02942725,5.02942725,5.02942725,5.162840981,5.162840981,5.162840981,5.162840981,5.162840981,5.162840981,5.162840981,5.162840981,5.162840981,5.162840981,5.162840981
1/9/2020,4.736167437,4.736167437,4.736167437,4.736167437,4.736167437,4.736167437,4.736167437,4.736167437,4.736167437,4.736167437,4.736167437,4.921879809,4.921879809,4.921879809,4.921879809,4.921879809,4.921879809,4.921879809,4.921879809,4.921879809,4.921879809,4.921879809
1/10/2020,4.750586807,4.750586807,4.750586807,4.750586807,4.750586807,4.750586807,4.750586807,4.750586807,4.750586807,4.750586807,4.750586807,4.584522696,4.584522696,4.584522696,4.584522696,4.584522696,4.584522696,4.584522696,4.584522696,4.584522696,4.584522696,4.584522696
1/11/2020,5.148824943,5.148824943,5.148824943,5.148824943,5.148824943,5.148824943,5.148824943,5.148824943,5.148824943,5.148824943,5.148824943,4.555793581,4.555793581,4.555793581,4.555793581,4.555793581,4.555793581,4.555793581,4.555793581,4.555793581,4.555793581,4.555793581
1/12/2020,5.537740525,5.537740525,5.537740525,5.537740525,5.537740525,5.537740525,5.537740525,5.537740525,5.537740525,5.537740525,5.537740525,5.371254128,5.371254128,5.371254128,5.371254128,5.371254128,5.371254128,5.371254128,5.371254128,5.371254128,5.371254128,5.371254128
1/13/2020,5.610145465,5.610145465,5.610145465,5.610145465,5.610145465,5.610145465,5.610145465,5.610145465,5.610145465,5.610145465,5.610145465,5.748458549,5.748458549,5.748458549,5.748458549,5.748458549,5.748458549,5.748458549,5.748458549,5.748458549,5.748458549,5.748458549
